"x" "y" "z"
"1" 0.5 89.5 -2.38418579101562e-07
"2" 1.5 89.5 -2.38418579101562e-07
"3" 2.5 89.5 -2.38418579101562e-07
"4" 3.5 89.5 -2.38418579101562e-07
"5" 4.5 89.5 -2.38418579101562e-07
"6" 5.5 89.5 -2.38418579101562e-07
"7" 6.5 89.5 -2.38418579101562e-07
"8" 7.5 89.5 -2.38418579101562e-07
"9" 8.5 89.5 -2.38418579101562e-07
"10" 9.5 89.5 -2.38418579101562e-07
"11" 10.5 89.5 -2.38418579101562e-07
"12" 11.5 89.5 -2.38418579101562e-07
"13" 12.5 89.5 -2.38418579101562e-07
"14" 13.5 89.5 -2.38418579101562e-07
"15" 14.5 89.5 -2.38418579101562e-07
"16" 15.5 89.5 -2.38418579101562e-07
"17" 16.5 89.5 -2.38418579101562e-07
"18" 17.5 89.5 -2.38418579101562e-07
"19" 18.5 89.5 -2.38418579101562e-07
"20" 19.5 89.5 -2.38418579101562e-07
"21" 20.5 89.5 -2.38418579101562e-07
"22" 21.5 89.5 -2.38418579101562e-07
"23" 22.5 89.5 -2.38418579101562e-07
"24" 23.5 89.5 -2.38418579101562e-07
"25" 24.5 89.5 -2.38418579101562e-07
"26" 25.5 89.5 -2.38418579101562e-07
"27" 26.5 89.5 -2.38418579101562e-07
"28" 27.5 89.5 -2.38418579101562e-07
"29" 28.5 89.5 -2.38418579101562e-07
"30" 29.5 89.5 -2.38418579101562e-07
"31" 30.5 89.5 -2.38418579101562e-07
"32" 31.5 89.5 -2.38418579101562e-07
"33" 32.5 89.5 -2.38418579101562e-07
"34" 33.5 89.5 -2.38418579101562e-07
"35" 34.5 89.5 -2.38418579101562e-07
"36" 35.5 89.5 -2.38418579101562e-07
"37" 36.5 89.5 -2.38418579101562e-07
"38" 37.5 89.5 -2.38418579101562e-07
"39" 38.5 89.5 -2.38418579101562e-07
"40" 39.5 89.5 -2.38418579101562e-07
"41" 40.5 89.5 -2.38418579101562e-07
"42" 41.5 89.5 -2.38418579101562e-07
"43" 42.5 89.5 -2.38418579101562e-07
"44" 43.5 89.5 -2.38418579101562e-07
"45" 44.5 89.5 -2.38418579101562e-07
"46" 45.5 89.5 -2.38418579101562e-07
"47" 46.5 89.5 -2.38418579101562e-07
"48" 47.5 89.5 -2.38418579101562e-07
"49" 48.5 89.5 -2.38418579101562e-07
"50" 49.5 89.5 -2.38418579101562e-07
"51" 50.5 89.5 -2.38418579101562e-07
"52" 51.5 89.5 -2.38418579101562e-07
"53" 52.5 89.5 -2.38418579101562e-07
"54" 53.5 89.5 -2.38418579101562e-07
"55" 54.5 89.5 -2.38418579101562e-07
"56" 55.5 89.5 -2.38418579101562e-07
"57" 56.5 89.5 -2.38418579101562e-07
"58" 57.5 89.5 -2.38418579101562e-07
"59" 58.5 89.5 -2.38418579101562e-07
"60" 59.5 89.5 -2.38418579101562e-07
"61" 60.5 89.5 -2.38418579101562e-07
"62" 61.5 89.5 -2.38418579101562e-07
"63" 62.5 89.5 -2.38418579101562e-07
"64" 63.5 89.5 -2.38418579101562e-07
"65" 64.5 89.5 -2.38418579101562e-07
"66" 65.5 89.5 -2.38418579101562e-07
"67" 66.5 89.5 -2.38418579101562e-07
"68" 67.5 89.5 -2.38418579101562e-07
"69" 68.5 89.5 -2.38418579101562e-07
"70" 69.5 89.5 -2.38418579101562e-07
"71" 70.5 89.5 -2.38418579101562e-07
"72" 71.5 89.5 -2.38418579101562e-07
"73" 72.5 89.5 -2.38418579101562e-07
"74" 73.5 89.5 -2.38418579101562e-07
"75" 74.5 89.5 -2.38418579101562e-07
"76" 75.5 89.5 -2.38418579101562e-07
"77" 76.5 89.5 -2.38418579101562e-07
"78" 77.5 89.5 -2.38418579101562e-07
"79" 78.5 89.5 -2.38418579101562e-07
"80" 79.5 89.5 -2.38418579101562e-07
"81" 80.5 89.5 -2.38418579101562e-07
"82" 81.5 89.5 -2.38418579101562e-07
"83" 82.5 89.5 -2.38418579101562e-07
"84" 83.5 89.5 -2.38418579101562e-07
"85" 84.5 89.5 -2.38418579101562e-07
"86" 85.5 89.5 -2.38418579101562e-07
"87" 86.5 89.5 -2.38418579101562e-07
"88" 87.5 89.5 -2.38418579101562e-07
"89" 88.5 89.5 -2.38418579101562e-07
"90" 89.5 89.5 -2.38418579101562e-07
"91" 90.5 89.5 -2.38418579101562e-07
"92" 91.5 89.5 -2.38418579101562e-07
"93" 92.5 89.5 -2.38418579101562e-07
"94" 93.5 89.5 -2.38418579101562e-07
"95" 94.5 89.5 -2.38418579101562e-07
"96" 95.5 89.5 -2.38418579101562e-07
"97" 96.5 89.5 -2.38418579101562e-07
"98" 97.5 89.5 -2.38418579101562e-07
"99" 98.5 89.5 -2.38418579101562e-07
"100" 99.5 89.5 -2.38418579101562e-07
"101" 100.5 89.5 -2.38418579101562e-07
"102" 101.5 89.5 -2.38418579101562e-07
"103" 102.5 89.5 -2.38418579101562e-07
"104" 103.5 89.5 -2.38418579101562e-07
"105" 104.5 89.5 -2.38418579101562e-07
"106" 105.5 89.5 -2.38418579101562e-07
"107" 106.5 89.5 -2.38418579101562e-07
"108" 107.5 89.5 -2.38418579101562e-07
"109" 108.5 89.5 -2.38418579101562e-07
"110" 109.5 89.5 -2.38418579101562e-07
"111" 110.5 89.5 -2.38418579101562e-07
"112" 111.5 89.5 -2.38418579101562e-07
"113" 112.5 89.5 -2.38418579101562e-07
"114" 113.5 89.5 -2.38418579101562e-07
"115" 114.5 89.5 -2.38418579101562e-07
"116" 115.5 89.5 -2.38418579101562e-07
"117" 116.5 89.5 -2.38418579101562e-07
"118" 117.5 89.5 -2.38418579101562e-07
"119" 118.5 89.5 -2.38418579101562e-07
"120" 119.5 89.5 -2.38418579101562e-07
"121" 120.5 89.5 -2.38418579101562e-07
"122" 121.5 89.5 -2.38418579101562e-07
"123" 122.5 89.5 -2.38418579101562e-07
"124" 123.5 89.5 -2.38418579101562e-07
"125" 124.5 89.5 -2.38418579101562e-07
"126" 125.5 89.5 -2.38418579101562e-07
"127" 126.5 89.5 -2.38418579101562e-07
"128" 127.5 89.5 -2.38418579101562e-07
"129" 128.5 89.5 -2.38418579101562e-07
"130" 129.5 89.5 -2.38418579101562e-07
"131" 130.5 89.5 -2.38418579101562e-07
"132" 131.5 89.5 -2.38418579101562e-07
"133" 132.5 89.5 -2.38418579101562e-07
"134" 133.5 89.5 -2.38418579101562e-07
"135" 134.5 89.5 -2.38418579101562e-07
"136" 135.5 89.5 -2.38418579101562e-07
"137" 136.5 89.5 -2.38418579101562e-07
"138" 137.5 89.5 -2.38418579101562e-07
"139" 138.5 89.5 -2.38418579101562e-07
"140" 139.5 89.5 -2.38418579101562e-07
"141" 140.5 89.5 -2.38418579101562e-07
"142" 141.5 89.5 -2.38418579101562e-07
"143" 142.5 89.5 -2.38418579101562e-07
"144" 143.5 89.5 -2.38418579101562e-07
"145" 144.5 89.5 -2.38418579101562e-07
"146" 145.5 89.5 -2.38418579101562e-07
"147" 146.5 89.5 -2.38418579101562e-07
"148" 147.5 89.5 -2.38418579101562e-07
"149" 148.5 89.5 -2.38418579101562e-07
"150" 149.5 89.5 -2.38418579101562e-07
"151" 150.5 89.5 -2.38418579101562e-07
"152" 151.5 89.5 -2.38418579101562e-07
"153" 152.5 89.5 -2.38418579101562e-07
"154" 153.5 89.5 -2.38418579101562e-07
"155" 154.5 89.5 -2.38418579101562e-07
"156" 155.5 89.5 -2.38418579101562e-07
"157" 156.5 89.5 -2.38418579101562e-07
"158" 157.5 89.5 -2.38418579101562e-07
"159" 158.5 89.5 -2.38418579101562e-07
"160" 159.5 89.5 -2.38418579101562e-07
"161" 160.5 89.5 -2.38418579101562e-07
"162" 161.5 89.5 -2.38418579101562e-07
"163" 162.5 89.5 -2.38418579101562e-07
"164" 163.5 89.5 -2.38418579101562e-07
"165" 164.5 89.5 -2.38418579101562e-07
"166" 165.5 89.5 -2.38418579101562e-07
"167" 166.5 89.5 -2.38418579101562e-07
"168" 167.5 89.5 -2.38418579101562e-07
"169" 168.5 89.5 -2.38418579101562e-07
"170" 169.5 89.5 -2.38418579101562e-07
"171" 170.5 89.5 -2.38418579101562e-07
"172" 171.5 89.5 -2.38418579101562e-07
"173" 172.5 89.5 -2.38418579101562e-07
"174" 173.5 89.5 -2.38418579101562e-07
"175" 174.5 89.5 -2.38418579101562e-07
"176" 175.5 89.5 -2.38418579101562e-07
"177" 176.5 89.5 -2.38418579101562e-07
"178" 177.5 89.5 -2.38418579101562e-07
"179" 178.5 89.5 -2.38418579101562e-07
"180" 179.5 89.5 -2.38418579101562e-07
"181" -179.5 89.5 -2.38418579101562e-07
"182" -178.5 89.5 -2.38418579101562e-07
"183" -177.5 89.5 -2.38418579101562e-07
"184" -176.5 89.5 -2.38418579101562e-07
"185" -175.5 89.5 -2.38418579101562e-07
"186" -174.5 89.5 -2.38418579101562e-07
"187" -173.5 89.5 -2.38418579101562e-07
"188" -172.5 89.5 -2.38418579101562e-07
"189" -171.5 89.5 -2.38418579101562e-07
"190" -170.5 89.5 -2.38418579101562e-07
"191" -169.5 89.5 -2.38418579101562e-07
"192" -168.5 89.5 -2.38418579101562e-07
"193" -167.5 89.5 -2.38418579101562e-07
"194" -166.5 89.5 -2.38418579101562e-07
"195" -165.5 89.5 -2.38418579101562e-07
"196" -164.5 89.5 -2.38418579101562e-07
"197" -163.5 89.5 -2.38418579101562e-07
"198" -162.5 89.5 -2.38418579101562e-07
"199" -161.5 89.5 -2.38418579101562e-07
"200" -160.5 89.5 -2.38418579101562e-07
"201" -159.5 89.5 -2.38418579101562e-07
"202" -158.5 89.5 -2.38418579101562e-07
"203" -157.5 89.5 -2.38418579101562e-07
"204" -156.5 89.5 -2.38418579101562e-07
"205" -155.5 89.5 -2.38418579101562e-07
"206" -154.5 89.5 -2.38418579101562e-07
"207" -153.5 89.5 -2.38418579101562e-07
"208" -152.5 89.5 -2.38418579101562e-07
"209" -151.5 89.5 -2.38418579101562e-07
"210" -150.5 89.5 -2.38418579101562e-07
"211" -149.5 89.5 -2.38418579101562e-07
"212" -148.5 89.5 -2.38418579101562e-07
"213" -147.5 89.5 -2.38418579101562e-07
"214" -146.5 89.5 -2.38418579101562e-07
"215" -145.5 89.5 -2.38418579101562e-07
"216" -144.5 89.5 -2.38418579101562e-07
"217" -143.5 89.5 -2.38418579101562e-07
"218" -142.5 89.5 -2.38418579101562e-07
"219" -141.5 89.5 -2.38418579101562e-07
"220" -140.5 89.5 -2.38418579101562e-07
"221" -139.5 89.5 -2.38418579101562e-07
"222" -138.5 89.5 -2.38418579101562e-07
"223" -137.5 89.5 -2.38418579101562e-07
"224" -136.5 89.5 -2.38418579101562e-07
"225" -135.5 89.5 -2.38418579101562e-07
"226" -134.5 89.5 -2.38418579101562e-07
"227" -133.5 89.5 -2.38418579101562e-07
"228" -132.5 89.5 -2.38418579101562e-07
"229" -131.5 89.5 -2.38418579101562e-07
"230" -130.5 89.5 -2.38418579101562e-07
"231" -129.5 89.5 -2.38418579101562e-07
"232" -128.5 89.5 -2.38418579101562e-07
"233" -127.5 89.5 -2.38418579101562e-07
"234" -126.5 89.5 -2.38418579101562e-07
"235" -125.5 89.5 -2.38418579101562e-07
"236" -124.5 89.5 -2.38418579101562e-07
"237" -123.5 89.5 -2.38418579101562e-07
"238" -122.5 89.5 -2.38418579101562e-07
"239" -121.5 89.5 -2.38418579101562e-07
"240" -120.5 89.5 -2.38418579101562e-07
"241" -119.5 89.5 -2.38418579101562e-07
"242" -118.5 89.5 -2.38418579101562e-07
"243" -117.5 89.5 -2.38418579101562e-07
"244" -116.5 89.5 -2.38418579101562e-07
"245" -115.5 89.5 -2.38418579101562e-07
"246" -114.5 89.5 -2.38418579101562e-07
"247" -113.5 89.5 -2.38418579101562e-07
"248" -112.5 89.5 -2.38418579101562e-07
"249" -111.5 89.5 -2.38418579101562e-07
"250" -110.5 89.5 -2.38418579101562e-07
"251" -109.5 89.5 -2.38418579101562e-07
"252" -108.5 89.5 -2.38418579101562e-07
"253" -107.5 89.5 -2.38418579101562e-07
"254" -106.5 89.5 -2.38418579101562e-07
"255" -105.5 89.5 -2.38418579101562e-07
"256" -104.5 89.5 -2.38418579101562e-07
"257" -103.5 89.5 -2.38418579101562e-07
"258" -102.5 89.5 -2.38418579101562e-07
"259" -101.5 89.5 -2.38418579101562e-07
"260" -100.5 89.5 -2.38418579101562e-07
"261" -99.5 89.5 -2.38418579101562e-07
"262" -98.5 89.5 -2.38418579101562e-07
"263" -97.5 89.5 -2.38418579101562e-07
"264" -96.5 89.5 -2.38418579101562e-07
"265" -95.5 89.5 -2.38418579101562e-07
"266" -94.5 89.5 -2.38418579101562e-07
"267" -93.5 89.5 -2.38418579101562e-07
"268" -92.5 89.5 -2.38418579101562e-07
"269" -91.5 89.5 -2.38418579101562e-07
"270" -90.5 89.5 -2.38418579101562e-07
"271" -89.5 89.5 -2.38418579101562e-07
"272" -88.5 89.5 -2.38418579101562e-07
"273" -87.5 89.5 -2.38418579101562e-07
"274" -86.5 89.5 -2.38418579101562e-07
"275" -85.5 89.5 -2.38418579101562e-07
"276" -84.5 89.5 -2.38418579101562e-07
"277" -83.5 89.5 -2.38418579101562e-07
"278" -82.5 89.5 -2.38418579101562e-07
"279" -81.5 89.5 -2.38418579101562e-07
"280" -80.5 89.5 -2.38418579101562e-07
"281" -79.5 89.5 -2.38418579101562e-07
"282" -78.5 89.5 -2.38418579101562e-07
"283" -77.5 89.5 -2.38418579101562e-07
"284" -76.5 89.5 -2.38418579101562e-07
"285" -75.5 89.5 -2.38418579101562e-07
"286" -74.5 89.5 -2.38418579101562e-07
"287" -73.5 89.5 -2.38418579101562e-07
"288" -72.5 89.5 -2.38418579101562e-07
"289" -71.5 89.5 -2.38418579101562e-07
"290" -70.5 89.5 -2.38418579101562e-07
"291" -69.5 89.5 -2.38418579101562e-07
"292" -68.5 89.5 -2.38418579101562e-07
"293" -67.5 89.5 -2.38418579101562e-07
"294" -66.5 89.5 -2.38418579101562e-07
"295" -65.5 89.5 -2.38418579101562e-07
"296" -64.5 89.5 -2.38418579101562e-07
"297" -63.5 89.5 -2.38418579101562e-07
"298" -62.5 89.5 -2.38418579101562e-07
"299" -61.5 89.5 -2.38418579101562e-07
"300" -60.5 89.5 -2.38418579101562e-07
"301" -59.5 89.5 -2.38418579101562e-07
"302" -58.5 89.5 -2.38418579101562e-07
"303" -57.5 89.5 -2.38418579101562e-07
"304" -56.5 89.5 -2.38418579101562e-07
"305" -55.5 89.5 -2.38418579101562e-07
"306" -54.5 89.5 -2.38418579101562e-07
"307" -53.5 89.5 -2.38418579101562e-07
"308" -52.5 89.5 -2.38418579101562e-07
"309" -51.5 89.5 -2.38418579101562e-07
"310" -50.5 89.5 -2.38418579101562e-07
"311" -49.5 89.5 -2.38418579101562e-07
"312" -48.5 89.5 -2.38418579101562e-07
"313" -47.5 89.5 -2.38418579101562e-07
"314" -46.5 89.5 -2.38418579101562e-07
"315" -45.5 89.5 -2.38418579101562e-07
"316" -44.5 89.5 -2.38418579101562e-07
"317" -43.5 89.5 -2.38418579101562e-07
"318" -42.5 89.5 -2.38418579101562e-07
"319" -41.5 89.5 -2.38418579101562e-07
"320" -40.5 89.5 -2.38418579101562e-07
"321" -39.5 89.5 -2.38418579101562e-07
"322" -38.5 89.5 -2.38418579101562e-07
"323" -37.5 89.5 -2.38418579101562e-07
"324" -36.5 89.5 -2.38418579101562e-07
"325" -35.5 89.5 -2.38418579101562e-07
"326" -34.5 89.5 -2.38418579101562e-07
"327" -33.5 89.5 -2.38418579101562e-07
"328" -32.5 89.5 -2.38418579101562e-07
"329" -31.5 89.5 -2.38418579101562e-07
"330" -30.5 89.5 -2.38418579101562e-07
"331" -29.5 89.5 -2.38418579101562e-07
"332" -28.5 89.5 -2.38418579101562e-07
"333" -27.5 89.5 -2.38418579101562e-07
"334" -26.5 89.5 -2.38418579101562e-07
"335" -25.5 89.5 -2.38418579101562e-07
"336" -24.5 89.5 -2.38418579101562e-07
"337" -23.5 89.5 -2.38418579101562e-07
"338" -22.5 89.5 -2.38418579101562e-07
"339" -21.5 89.5 -2.38418579101562e-07
